"Site ID","BTS Name","MCC","MNC","Maximum Pooled Throughput (Mbps)","eNodeB ID","Base Station Type"
"Site_1334","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1335","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1336","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1337","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1338","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1339","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_134","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1340","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1341","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1342","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1343","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1344","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1345","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1346","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1347","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1348","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1349","LTE FDD","0","0","100","","LTE FDD_BTS_1"
